Geo Point,zone_id,site_id,modified,park,landuse,site_typ,species,diameter,height,spread,trunks,conditn,appraise,planted
"44.4830382022,-73.215841064",ward 3,287,2018-12,,apartments,Tree,"linden,littleleaf",15,35,30,1,70,4730.0,0
"44.4826930422,-73.2158195886",ward 3,289,2018-12,,apartments,Tree,"mapl,amur",4,10,5,1,70,290.0,0
"44.4827571428,-73.215941174",ward 3,290,2018-12,,apartments,Tree,crabappl rd baron,1,5,5,1,80,180.0,2011
"44.5135911221,-73.2662575061",ward 4,294,2011-08,starr farm park,park,Tree,"mapl,norway",10,18,20,1,70,1720.0,0
"44.5134129257,-73.2664647357",ward 4,297,2011-08,starr farm park,park,Tree,"fir,white",12,30,15,1,70,2750.0,0
"44.4613407805,-73.2157582771",ward 5,302,2011-08,,municipal,Tree,"hackberry,common",8,25,15,1,80,1260.0,0
"44.461344221,-73.2156652246",ward 5,303,2011-08,,municipal,Tree,"hackberry,common",5,20,12,1,80,510.0,0
"44.4613485779,-73.215358628",ward 5,305,2011-08,,municipal,Tree,"hackberry,common",4,9,10,1,70,290.0,0
"44.4713813193,-73.2109297397",ward 6,307,2018-12,,residence,Tree,"zelkova,japanese",7,15,10,1,80,1120.0,0
"44.4713554473,-73.211429143",ward 6,311,2019-11,,residence,Tree,mapl frman marmo,2,10,5,1,80,210.0,2019
"44.4713493593,-73.21162039",ward 6,312,2018-12,,residence,Tree,"mapl,freeman",6,20,10,1,80,780.0,0
"44.4713343984,-73.2119427325",ward 6,314,2018-12,,residence,Tree,"zelkova,japanese",8,15,10,1,80,1460.0,0
"44.4712619549,-73.2115850934",ward 6,318,2018-12,,residence,Planting Stumpite,,0,0,0,0,0,0.0,0
"44.4712877211,-73.2110237397",ward 6,321,2018-12,,residence,Tree,elm spp,13,40,20,1,70,1780.0,0
"44.4714627971,-73.210678253",ward 6,322,2019-07,,apartments,Stump,"ash,gr summit",8,0,0,1,0,0.0,0
"44.4767458255,-73.2188700372",ward 3,323,2017-10,,business,Tree,honeylcst skyline,6,20,15,1,80,500.0,0
"44.4765915752,-73.2188628227",ward 3,324,2011-08,,business,Tree,honeylcst skyline,6,20,15,1,80,500.0,0
"44.5131066626,-73.2655390222",ward 4,326,2011-08,,residence,Tree,maple free aut bl,8,30,20,1,80,1360.0,0
"44.5130656095,-73.2654825792",ward 4,327,2011-08,,residence,Tree,maple free aut bl,11,30,20,1,70,2240.0,0
"44.5130272938,-73.2654441411",ward 4,328,2011-08,,residence,Tree,maple free aut bl,10,30,20,1,80,2120.0,0
"44.5125382671,-73.2648501493",ward 4,333,2018-09,,residence,Tree,"mapl,frman celebr",2,10,5,1,80,210.0,2018
"44.5121697187,-73.2644111713",ward 4,334,2018-09,,residence,Tree,"mapl,japanese",15,15,10,7,70,5300.0,0
"44.5119917868,-73.2642071903",ward 4,336,2018-05,,residence,Removal,,0,0,0,0,0,0.0,0
"44.4519673568,-73.212537422",ward 5,404,2011-08,,residence,Tree,"ash,gr mrshl sdls",17,40,30,1,80,5600.0,0
"44.4519225111,-73.2117492591",ward 5,408,2011-08,,residence,Tree,"ash,gr mrshl sdls",19,35,30,1,80,7000.0,0
"44.4518705902,-73.2107471905",ward 5,412,2019-11,,residence,Tree,"ash,gr mrshl sdls",16,40,30,1,80,5000.0,0
"44.4518575519,-73.2104538191",ward 5,414,2011-08,,residence,Tree,"ash,gr mrshl sdls",20,40,30,1,80,7800.0,0
"44.4541838397,-73.2106741007",ward 5,663,2017-01,,residence,Tree,"mapl,hedge",9,20,20,1,70,1500.0,0
"44.4541662231,-73.2103449929",ward 5,665,2011-09,,residence,Tree,"mapl,tatarian",8,15,20,1,70,1190.0,0
"44.4541381666,-73.2098021153",ward 5,669,2011-09,,residence,Tree,"mapl,tatarian",6,10,15,1,70,680.0,0
"44.4541322903,-73.2097132833",ward 5,670,2011-09,,residence,Tree,"mapl,silver",36,45,50,1,50,11500.0,0
"44.4541100092,-73.209275194",ward 5,672,2011-09,,residence,Tree,"mapl,tatarian",8,15,15,1,80,1360.0,0
"44.4807337228,-73.2195490762",ward 3,156,2014-09,battery park,park,Tree,"mapl,red",15,35,30,1,80,4730.0,0
"44.480881291,-73.2196916745",ward 3,157,2019-03,battery park,park,Tree,elm amer princeto,3,15,15,1,80,210.0,2013
"44.4809269731,-73.2203504822",ward 3,172,2011-07,battery park,park,Tree,"mapl,sugar",16,40,25,1,70,6000.0,0
"44.48106826,-73.2201695378",ward 3,173,2011-07,battery park,park,Tree,"hawthorn,wshngton",6,10,10,1,30,290.0,0
"44.4805817618,-73.2192538665",ward 3,175,2019-05,battery park,park,Tree,"locust,black",28,20,25,1,30,5200.0,0
"44.480858352,-73.2191934079",ward 3,182,2019-03,,park,Tree,"hackberry,common",12,20,25,1,80,2820.0,0
"44.4809711611,-73.2192021097",ward 3,183,2019-03,,park,Tree,"hackberry,common",9,20,25,1,80,1590.0,0
"44.4811310915,-73.2192905482",ward 3,185,2011-07,battery park,park,Tree,"locust,black",26,30,20,1,30,4550.0,0
"44.481081565,-73.2192147743",ward 3,186,2019-03,,park,Tree,"hackberry,common",12,25,25,1,80,2820.0,0
"44.4811734316,-73.2192218902",ward 3,187,2019-03,,park,Tree,"hackberry,common",8,20,15,1,80,1260.0,0
"44.4810345839,-73.2195667424",ward 3,190,2011-07,battery park,park,Tree,"mapl,red",8,35,20,1,70,1190.0,0
"44.4810645897,-73.2196416116",ward 3,191,2011-07,battery park,park,Tree,"mapl,red",9,35,20,1,70,1500.0,0
"44.4811493573,-73.2196370536",ward 3,192,2011-07,battery park,park,Tree,"mapl,sugar",16,45,25,1,70,6000.0,0
"44.4812843713,-73.2193762444",ward 3,194,2011-07,battery park,park,Tree,"mapl,sugar",14,40,25,1,70,4640.0,0
"44.4909177636,-73.2334233265",ward 4,197,2018-12,lakeview cemetery,cemetery,Tree,"oak,white",45,75,60,1,80,36000.0,0
"44.4813493575,-73.2210070521",ward 3,199,2018-09,battery park,park,Tree,"mapl,silver",31,50,50,1,70,12300.0,0
"44.481517807,-73.2211449714",ward 3,201,2011-07,battery park,park,Tree,honeylcst shdmstr,25,35,30,1,80,8400.0,0
"44.4817126911,-73.2204037199",ward 3,207,2011-07,battery park,park,Tree,"mapl,sugar",5,20,10,1,80,700.0,0
"44.4814051929,-73.2207408355",ward 3,211,2018-09,battery park,park,Tree,"oak,red",18,35,30,1,70,7200.0,0
"44.481331115,-73.2204227205",ward 3,220,2011-07,battery park,park,Tree,"pine,austrian",14,25,25,1,70,3490.0,0
"44.4813192755,-73.2203293681",ward 3,221,2011-07,battery park,park,Tree,"pine,austrian",14,20,20,1,70,3490.0,0
"44.4819097844,-73.2200805071",ward 3,226,2019-03,,park,Tree,"hackberry,common",9,20,20,1,80,1590.0,0
"44.4819100355,-73.2198141026",ward 3,228,2019-03,,park,Tree,"hackberry,common",13,25,25,1,80,3310.0,0
"44.4816043577,-73.219975386",ward 3,231,2018-06,battery park,park,Tree,"mapl,sugar",18,45,35,1,70,7600.0,0
"44.481431024,-73.2198853859",ward 3,232,2018-12,battery park,park,Tree,honeylocust,13,20,20,1,80,2290.0,0
