Geo Point,zone_id,site_id,modified,park,landuse,site_typ,species,diameter,height,spread,trunks,conditn,appraise,planted
"44.5044472929,-73.2726979322",ward 4,6320,2014-06,,residence,Tree,"ash,green",19,45,35,1,80,7000.0,0
"44.5043412409,-73.2726060306",ward 4,6321,2014-06,,residence,Tree,"ash,green",20,45,35,1,80,7800.0,0
"44.5045000557,-73.2725715291",ward 4,6326,2014-06,,residence,Tree,"hackberry,common",13,35,25,1,80,3310.0,0
"44.5046179444,-73.2726735696",ward 4,6327,2014-06,,residence,Tree,"hackberry,common",12,30,20,1,70,2470.0,0
"44.5048537972,-73.2728663375",ward 4,6329,2014-06,,residence,Tree,"hackberry,common",7,15,10,1,80,970.0,0
"44.5051843413,-73.273025493",ward 4,6332,2014-06,,residence,Tree,"hackberry,common",11,25,20,1,70,2080.0,0
"44.5052857396,-73.2731462124",ward 4,6333,2014-06,,residence,Tree,"hackberry,common",11,25,20,1,80,2370.0,0
"44.5060127196,-73.27331753",ward 4,6337,2014-06,,residence,Tree,"hackberry,common",11,25,20,1,70,2080.0,0
"44.5063096464,-73.273141115",ward 4,6340,2017-07,,residence,Tree,"hackberry,common",3,15,10,1,50,120.0,2008
"44.5063263079,-73.2729310477",ward 4,6341,2014-06,,residence,Tree,"ash,green",9,30,20,1,80,1590.0,0
"44.5062848511,-73.2727940784",ward 4,6342,2014-06,,residence,Tree,"ash,green",11,30,20,1,70,2080.0,0
"44.5061718214,-73.2725370469",ward 4,6344,2014-06,,residence,Tree,"ash,green",10,40,20,1,80,1960.0,0
"44.5055343201,-73.2719503434",ward 4,6351,2014-06,,residence,Tree,"ash,green",13,40,25,1,80,3310.0,0
"44.5046778499,-73.2712789158",ward 4,6358,2014-06,,residence,Tree,"ash,green",16,40,30,1,70,4370.0,0
"44.5209548058,-73.2486924144",ward 7,6363,2014-06,,residence,Tree,honeylcst shdmstr,13,25,30,1,70,2000.0,0
"44.5185724124,-73.2493011706",ward 7,6491,2014-06,,residence,Tree,"mapl,red",17,35,25,1,50,3790.0,0
"44.5186626773,-73.2492093922",ward 7,6499,2014-06,,residence,Tree,"hackberry,common",11,20,20,1,70,2080.0,0
"44.5182702646,-73.2488021723",ward 7,6502,2019-01,,residence,Tree,"elm,accolade",4,20,15,1,80,360.0,2009
"44.5189845057,-73.2456447177",ward 7,6506,2018-04,,residence,Removal,,0,0,0,0,0,0.0,0
"44.5195775333,-73.2452592335",ward 7,6508,2014-06,,residence,Tree,"linden,ltlf grnsp",16,35,25,1,70,5300.0,0
"44.5199705653,-73.245892591",ward 7,6511,2014-06,,residence,Tree,"ash,green",11,35,20,1,70,2080.0,0
"44.5208305107,-73.2468560841",ward 7,6520,2019-02,,residence,Tree,"sweetgum,american",2,10,5,1,80,240.0,2017
"44.477487932,-73.2200896203",ward 3,6530,2018-11,,parking lot,Tree,maple free aut bl,15,30,25,1,70,4140.0,0
"44.4786181146,-73.219165656",ward 3,6537,2014-06,battery park,park,Tree,honeylcst shdmstr,11,30,25,1,80,1640.0,0
"44.4784467203,-73.2192340568",ward 3,6540,2014-06,battery park,park,Tree,honeylcst shdmstr,3,15,10,1,70,120.0,0
"44.4783720781,-73.2191386884",ward 3,6542,2014-06,battery park,park,Tree,honeylcst shdmstr,3,15,10,1,70,120.0,0
"44.4783691443,-73.2192264519",ward 3,6543,2014-06,battery park,park,Tree,honeylcst shdmstr,14,35,30,1,80,2650.0,0
"44.4781231124,-73.2191229928",ward 3,6549,2014-06,battery park,park,Tree,honeylcst shdmstr,15,30,30,1,80,3040.0,0
"44.4777061107,-73.2191717465",ward 3,6558,2014-06,battery park,park,Tree,honeylcst shdmstr,17,35,30,1,80,3900.0,0
"44.4768981394,-73.221178097",ward 3,6561,2014-06,waterfront park,island,Tree,maple free aut bl,6,20,20,1,70,680.0,0
"44.476764098,-73.219841515",ward 3,6564,2018-11,waterfront park,parking lot,Tree,elm amer princeto,7,20,10,1,80,1050.0,0
"44.47679273,-73.2194544283",ward 3,6566,2018-11,,business,Tree,elm amer princeto,6,15,10,1,80,780.0,0
"44.4769138225,-73.2199813717",ward 3,6567,2014-06,waterfront park,parking lot,Tree,"mapl,nwy columnar",9,25,10,1,70,1390.0,0
"44.4770155157,-73.2200915377",ward 3,6571,2018-11,waterfront park,parking lot,Tree,honeylocust,4,15,10,1,80,230.0,0
"44.477222843,-73.2205364025",ward 3,6573,2019-06,waterfront park,parking lot,Stump,honeylocust,6,0,0,1,0,0.0,0
"44.4777067635,-73.2206371415",ward 3,6579,2018-11,waterfront park,parking lot,Tree,elm amer princeto,9,20,15,1,70,1500.0,0
"44.4778447077,-73.220568168",ward 3,6581,2018-11,waterfront park,parking lot,Tree,elm amer princeto,8,20,15,1,70,1190.0,0
"44.4779064945,-73.2204932681",ward 3,6582,2018-11,waterfront park,parking lot,Tree,elm amer princeto,9,20,15,1,70,1500.0,0
"44.4778946991,-73.2206643979",ward 3,6583,2018-11,waterfront park,parking lot,Tree,elm amer princeto,4,15,5,1,50,220.0,0
"44.4779439176,-73.220600152",ward 3,6584,2018-11,waterfront park,parking lot,Tree,elm amer princeto,9,20,15,1,70,1500.0,0
"44.4779336044,-73.2204420525",ward 3,6585,2014-06,waterfront park,parking lot,Tree,"serviceberry,appl",3,10,10,1,50,130.0,0
"44.4779441357,-73.220471282",ward 3,6586,2019-10,waterfront park,parking lot,Removal,,0,0,0,0,0,0.0,0
"44.4779687711,-73.2204350025",ward 3,6587,2014-06,waterfront park,parking lot,Tree,"pine,red",11,20,15,1,80,2480.0,0
"44.4780552627,-73.2204069668",ward 3,6589,2018-11,waterfront park,park,Tree,maple free aut bl,20,35,25,1,70,7300.0,0
"44.4781063009,-73.2204317059",ward 3,6590,2018-11,waterfront park,park,Tree,maple free aut bl,19,35,25,1,70,6600.0,0
"44.478262118,-73.2205491929",ward 3,6592,2018-11,waterfront park,park,Tree,elm amer princeto,10,20,15,1,70,1850.0,0
"44.4783327244,-73.220585814",ward 3,6593,2018-11,waterfront park,park,Tree,elm amer princeto,9,20,15,1,70,1500.0,0
"44.4784836407,-73.2206309064",ward 3,6595,2018-11,waterfront park,park,Tree,maple free aut bl,19,35,25,1,70,6600.0,0
"44.4786159739,-73.2206965556",ward 3,6596,2018-11,waterfront park,park,Tree,maple free aut bl,24,35,25,1,70,10500.0,0
"44.4809822306,-73.2218232317",ward 3,6597,2018-11,,apartments,Tree,maple free aut bl,18,35,25,1,70,5900.0,0
"44.4803486773,-73.22147452",ward 3,6601,2018-11,,apartments,Tree,maple free aut bl,13,25,20,1,70,3110.0,0
"44.4802353617,-73.2214140892",ward 3,6602,2014-06,,apartments,Tree,maple free aut bl,12,25,20,1,70,2660.0,0
"44.4798492456,-73.2212097264",ward 3,6603,2018-11,,vacant lot,Tree,maple free aut bl,17,35,20,1,70,5300.0,0
"44.4792055134,-73.2208700475",ward 3,6608,2018-11,,business,Tree,maple free aut bl,18,30,30,1,70,5900.0,0
"44.4790702998,-73.2209590654",ward 3,6611,2014-06,,park,Tree,"serviceberry,appl",5,10,10,1,80,550.0,0
"44.4789913588,-73.2207526716",ward 3,6613,2018-11,,business,Tree,maple free aut bl,18,30,30,1,70,5900.0,0
"44.4787801538,-73.2206394898",ward 3,6615,2018-11,,business,Tree,maple free aut bl,21,30,30,1,70,8100.0,0
"44.4786733747,-73.2205808057",ward 3,6616,2018-11,,business,Tree,maple free aut bl,19,35,25,1,70,6600.0,0
"44.4782040931,-73.2203297562",ward 3,6619,2018-11,,apartments,Tree,maple free aut bl,19,35,30,1,70,6600.0,0
"44.4779507473,-73.2201969368",ward 3,6621,2018-11,,business,Tree,maple free aut bl,19,35,30,1,70,6600.0,0
"44.4777680184,-73.2200990747",ward 3,6622,2018-11,,business,Tree,maple free aut bl,16,35,30,1,70,4710.0,0
"44.4773307683,-73.2198658871",ward 3,6625,2018-11,,business,Tree,maple free aut bl,11,25,20,1,70,2240.0,0
"44.4697745232,-73.2195771976",ward 5,6630,2019-10,roundhouse park,park,Removal,,0,0,0,0,0,0.0,0
"44.4698808252,-73.2195984553",ward 5,6631,2019-10,roundhouse park,park,Removal,,0,0,0,0,0,0.0,0
"44.4701950299,-73.2197280122",ward 5,6634,2019-10,roundhouse park,park,Removal,,0,0,0,0,0,0.0,0
"44.4704927487,-73.2199232079",ward 5,6637,2019-10,roundhouse park,park,Removal,,0,0,0,0,0,0.0,0
"44.470691538,-73.2200608264",ward 5,6639,2019-10,roundhouse park,park,Removal,,0,0,0,0,0,0.0,0
"44.5206527967,-73.246720009",ward 7,6646,2014-06,,residence,Tree,"ash,green",11,30,25,1,70,2080.0,0
"44.5205984334,-73.2466585767",ward 7,6647,2014-06,,residence,Tree,"mapl,red",6,20,10,1,70,680.0,0
"44.5205117999,-73.2465251766",ward 7,6648,2014-06,,residence,Tree,crabapple spp,11,15,20,1,80,2190.0,0
"44.520455224,-73.2464379222",ward 7,6649,2014-06,,residence,Tree,crabapple spp,9,15,20,1,70,1290.0,0
"44.5203892716,-73.246328084",ward 7,6650,2019-07,,residence,Stump,"ash,green",15,0,0,1,0,0.0,0
"44.520259676,-73.2461192528",ward 7,6651,2014-06,,residence,Tree,"ash,green",15,30,30,1,80,4390.0,0
"44.5198790839,-73.245513672",ward 7,6655,2014-06,,residence,Tree,"linden,ltlf grnsp",15,30,30,1,70,4730.0,0
"44.519752392,-73.2453156991",ward 7,6656,2018-11,,residence,Tree,"linden,ltlf grnsp",18,30,30,1,50,4860.0,0
"44.5195038019,-73.2449148233",ward 7,6658,2019-06,,residence,Stump,"ash,green",12,0,0,1,0,0.0,0
"44.5189970777,-73.2441154574",ward 7,6661,2019-02,,residence,Tree,"mapl,frman celebr",2,10,5,1,80,210.0,2017
"44.5188114732,-73.2438227235",ward 7,6663,2019-11,,residence,Tree,honeylcst skyline,2,10,5,1,80,130.0,2019
"44.5185507937,-73.2436322044",ward 7,6669,2014-06,,residence,Tree,"mapl,nwy columnar",9,20,10,1,70,1390.0,0
"44.5186374027,-73.2437697563",ward 7,6670,2014-06,,residence,Tree,"ash,green",8,20,15,1,70,1110.0,0
"44.5186238953,-73.2454078927",ward 7,6677,2014-06,,residence,Tree,"birch,river hritg",14,30,25,1,80,4300.0,0
"44.5185133414,-73.24516337",ward 7,6678,2018-04,,residence,Removal,unknown,0,0,0,0,0,0.0,0
"44.5183384407,-73.2447632761",ward 7,6679,2019-01,,residence,Tree,elm triumph,4,15,15,1,80,360.0,2007
"44.5177957166,-73.2435318298",ward 7,6681,2018-04,,residence,Removal,,0,0,0,0,0,0.0,0
"44.5176151674,-73.2431206919",ward 7,6682,2014-06,,residence,Tree,"birch,river hritg",14,30,30,1,80,4300.0,0
"44.5174212342,-73.242680433",ward 7,6683,2018-06,,residence,Tree,"redbud,eastern",1,5,5,1,80,210.0,2018
"44.5184979018,-73.2454130257",ward 7,6695,2014-06,,residence,Tree,"ash,gr summit",20,35,35,1,80,7800.0,0
"44.517724162,-73.2465345077",ward 7,6703,2014-06,,residence,Tree,"mapl,red",9,25,15,1,80,1720.0,0
"44.5175798161,-73.2466151986",ward 7,6705,2014-06,,residence,Tree,"mapl,red",7,20,10,1,80,1050.0,0
"44.5179842477,-73.2462323185",ward 7,6711,2014-06,,residence,Tree,"mapl,silver",12,30,20,1,70,1900.0,0
"44.5181099306,-73.2461653661",ward 7,6713,2014-06,,residence,Tree,"mapl,red",16,35,25,1,70,4710.0,0
"44.5185890424,-73.2459048221",ward 7,6715,2014-06,,residence,Tree,"elm,accolade",9,20,20,1,80,1720.0,0
"44.5169736408,-73.2461701665",ward 7,6718,2014-06,,residence,Tree,"mapl,freeman",5,25,15,1,80,550.0,0
"44.5167215538,-73.2459040434",ward 7,6719,2019-06,,residence,Tree,"elm,accolade",12,25,25,1,70,2660.0,0
"44.516569718,-73.2457463601",ward 7,6720,2019-06,,residence,Tree,"elm,accolade",14,25,30,1,80,4130.0,0
"44.5161650539,-73.2450709605",ward 7,6725,2014-06,,residence,Tree,"mapl,nwy crmsn kg",8,25,15,1,80,1260.0,0
"44.516278448,-73.2450261466",ward 7,6728,2019-10,,residence,Tree,"mapl,silver",25,45,35,1,70,8100.0,0
"44.5164588227,-73.2453352794",ward 7,6730,2019-06,,residence,Tree,honeylcst shdmstr,13,30,30,1,70,2000.0,0
"44.5168383909,-73.2458426352",ward 7,6732,2014-06,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.517162885,-73.2461782393",ward 7,6734,2014-06,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5171454806,-73.2454159165",ward 7,6736,2014-06,,residence,Tree,honeylcst shdmstr,14,30,30,1,70,2320.0,0
"44.5177742669,-73.2450239092",ward 7,6739,2014-06,,residence,Tree,honeylcst shdmstr,17,35,45,1,70,3410.0,0
"44.5175003677,-73.2450350623",ward 7,6743,2014-06,,residence,Tree,"ash,green",16,30,30,1,70,4370.0,0
"44.5173062443,-73.245154391",ward 7,6744,2014-06,,residence,Tree,"ash,gr patmore",8,20,15,1,70,1110.0,0
"44.5170924932,-73.2452894442",ward 7,6746,2019-09,,residence,Tree,"elm,siberian",7,25,15,1,70,260.0,0
"44.5167001214,-73.2443839058",ward 7,6749,2014-06,,residence,Tree,"ash,gr summit",15,30,25,1,70,3840.0,0
"44.5173625995,-73.2440096252",ward 7,6753,2014-06,,residence,Tree,"ash,gr summit",18,35,35,1,70,5500.0,0
"44.5170926447,-73.2440001989",ward 7,6758,2014-06,,residence,Tree,maple free aut bl,7,30,15,1,80,1050.0,0
"44.5166486303,-73.2442468059",ward 7,6761,2014-06,,residence,Tree,linden ltlf corin,12,25,20,1,70,2660.0,0
"44.4823807808,-73.1865755951",ward 1,6763,2014-06,greenmount cemete,cemetery,Tree,arborvitae,33,30,20,3,70,20000.0,0
"44.482483964,-73.1866739472",ward 1,6764,2014-06,greenmount cemete,cemetery,Tree,arborvitae,24,30,20,2,70,10800.0,0
"44.4827493799,-73.1863374541",ward 1,6769,2017-07,greenmount cemete,cemetery,Stump,"spruce,white",17,0,0,1,0,0.0,0
"44.4826527915,-73.1868382134",ward 1,6771,2014-06,greenmount cemete,cemetery,Tree,arborvitae,28,40,25,1,50,10500.0,0
"44.4828826349,-73.1869855914",ward 1,6774,2014-06,greenmount cemete,cemetery,Tree,arborvitae,43,40,35,6,70,30400.0,0
"44.4832960414,-73.1867799052",ward 1,6782,2016-09,greenmount cemete,cemetery,Tree,elm spp,6,20,20,2,80,440.0,0
"44.48240789,-73.1864309264",ward 1,6785,2014-06,greenmount cemete,cemetery,Tree,arborvitae,30,40,20,1,70,16900.0,0
"44.4829571056,-73.1867260644",ward 1,6791,2014-06,greenmount cemete,cemetery,Tree,arborvitae,27,35,15,1,70,13700.0,0
"44.4829415735,-73.1866575013",ward 1,6793,2014-06,greenmount cemete,cemetery,Tree,arborvitae,32,30,20,2,70,18800.0,0
"44.4832311139,-73.1863394695",ward 1,6797,2014-06,greenmount cemete,cemetery,Tree,arborvitae,34,40,30,1,70,21100.0,0
"44.5150695807,-73.2421094381",ward 7,6802,2014-06,,residence,Tree,"mapl,hedge",9,20,15,1,70,1500.0,0
"44.5150808599,-73.241912573",ward 7,6803,2014-06,,residence,Tree,"birch,river hritg",11,40,25,1,70,2330.0,0
"44.5150239255,-73.2414399642",ward 7,6806,2014-06,,residence,Tree,"mapl,hedge",12,25,25,1,70,2660.0,0
"44.5149670078,-73.2413314211",ward 7,6807,2014-06,,residence,Tree,"mapl,hedge",11,25,20,1,70,2240.0,0
"44.5147393341,-73.2411175513",ward 7,6810,2017-07,,residence,Tree,"mapl,silver",2,15,10,1,70,130.0,0
"44.5146329812,-73.2410682829",ward 7,6811,2017-07,,residence,Tree,"mapl,sugar",22,45,40,1,70,11400.0,0
"44.5144277372,-73.2409938002",ward 7,6817,2014-06,,residence,Tree,"birch,river hritg",8,25,20,1,80,1420.0,0
"44.5143982489,-73.2409881024",ward 7,6818,2014-06,,residence,Tree,"birch,river hritg",6,25,15,1,80,810.0,0
"44.4820123701,-73.2094825017",ward 2,6974,2018-12,,apartments,Tree,"ash,gr patmore",9,30,15,1,70,1390.0,0
"44.4831957514,-73.2087970505",ward 2,6987,2014-06,,apartments,Tree,"ash,european",13,25,20,1,50,1590.0,0
"44.4832116006,-73.2083149688",ward 2,6989,2014-06,,apartments,Tree,"ash,european",17,30,30,1,70,3790.0,0
"44.483226979,-73.2078315512",ward 2,6991,2014-06,,apartments,Tree,"ash,european",19,35,30,1,70,4740.0,0
"44.4832346251,-73.2075968267",ward 2,6992,2014-06,,apartments,Tree,"ash,european",19,35,30,1,70,4740.0,0
"44.4832483291,-73.2070788541",ward 2,6994,2014-06,,apartments,Tree,"hazelnut,turkish",9,25,15,1,70,1720.0,0
"44.4832788337,-73.2061895106",ward 2,6998,2014-06,,residence,Tree,"ash,gr patmore",16,35,25,1,70,4370.0,0
"44.4831605433,-73.2064508387",ward 2,7003,2014-06,,apartments,Tree,"mapl,norway",12,30,25,1,70,2470.0,0
"44.4828477586,-73.2067821581",ward 2,7005,2015-09,,apartments,Planting Stumpite,,0,0,0,0,0,0.0,0
"44.4808433916,-73.2057790948",ward 2,7053,2018-12,,apartments,Tree,"linden,ltlf grnsp",24,60,35,1,70,12000.0,0
"44.4821254533,-73.2058444408",ward 2,7062,2014-11,,apartments,Tree,"linden,ltlf grnsp",13,30,25,1,70,3560.0,0
"44.4824920633,-73.20585751",ward 2,7066,2014-10,,residence,Tree,"linden,ltlf grnsp",19,45,30,1,50,5400.0,0
"44.4829314809,-73.2058794384",ward 2,7070,2018-08,,residence,Tree,elm triumph,9,25,20,3,70,1500.0,0
"44.4830476499,-73.2058841655",ward 2,7071,2018-08,,residence,Tree,"linden,ltlf grnsp",14,30,25,3,70,4130.0,0
"44.4815832509,-73.2056556421",ward 1,7076,2014-06,,residence,Tree,"mapl,norway",10,20,20,1,70,1720.0,0
"44.481141924,-73.205634358",ward 1,7077,2014-06,,residence,Tree,"lilac,jap tree",5,15,15,1,70,480.0,0
"44.4838571165,-73.2057542529",ward 1,7081,2019-03,,apartments,Tree,"mapl,frman celebr",4,25,10,1,70,310.0,2013
"44.4836876308,-73.2057462219",ward 1,7083,2014-06,,business,Tree,"linden,ltlf grnsp",19,45,35,1,50,5400.0,0
"44.4834141698,-73.2058994428",ward 2,7086,2014-06,,apartments,Tree,"lilac,jap tree",3,15,10,1,50,130.0,0
"44.4838665684,-73.2059200036",ward 2,7089,2014-06,,residence,Tree,crabapple spp,14,20,20,1,70,3090.0,0
"44.4840884268,-73.2059299968",ward 2,7091,2018-09,,apartments,Stump,crabapple spp,14,0,0,1,0,0.0,0
"44.482083949,-73.2052459355",ward 1,7092,2014-06,,residence,Tree,"linden,ltlf grnsp",11,30,30,1,70,2560.0,0
"44.4821178261,-73.204733813",ward 1,7096,2014-06,,apartments,Tree,"mapl,norway",10,25,20,1,70,1720.0,0
"44.4842328969,-73.2009964715",ward 1,7220,2018-12,,residence,Tree,"linden,ltlf grnsp",25,60,35,1,50,9300.0,0
"44.4842649257,-73.200530372",ward 1,7223,2014-06,,residence,Tree,"mapl,amur",6,10,10,1,70,630.0,0
"44.4843071237,-73.1998615027",ward 1,7227,2018-07,,residence,Tree,"linden,ltlf grnsp",26,60,40,1,70,14100.0,0
"44.4836393943,-73.1991401481",ward 1,7230,2014-06,,church,Tree,"mapl,hedge",10,15,20,1,80,2120.0,0
"44.4836969638,-73.1991488182",ward 1,7231,2014-06,,school,Stump,unknown,11,0,0,0,0,0.0,0
"44.4846252615,-73.2015204297",ward 1,7237,2014-06,,residence,Tree,"mapl,red",8,20,15,1,70,1190.0,0
"44.4842915231,-73.2013372656",ward 1,7238,2014-06,,residence,Tree,"lilac,jap tree",4,15,10,1,50,220.0,0
"44.4833866349,-73.1999718858",ward 1,7244,2014-06,,residence,Tree,crabapple spp,11,20,20,1,70,1920.0,0
"44.4833669011,-73.2002390621",ward 1,7245,2014-06,,residence,Tree,"mapl,norway",20,35,35,1,70,6800.0,0
"44.4833432066,-73.2009237423",ward 1,7250,2014-06,,residence,Tree,"ash,gr patmore",15,40,40,1,70,3840.0,0
"44.4863984428,-73.220261903",ward 3,7491,2018-12,,residence,Tree,"mapl,norway",14,20,15,1,70,3350.0,0
"44.4863274039,-73.2202560392",ward 3,7492,2018-12,,residence,Tree,"mapl,norway",15,25,30,1,70,3840.0,0
"44.4860386672,-73.2202225511",ward 3,7494,2018-12,,residence,Tree,"mapl,norway",18,40,30,1,70,5500.0,0
"44.5157856551,-73.2445934157",ward 7,6832,2014-06,,residence,Tree,honeylcst shdmstr,10,25,25,1,70,1190.0,0
"44.5151325492,-73.2445524861",ward 7,6835,2014-06,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5150855699,-73.2448191118",ward 7,6841,2014-06,,residence,Tree,"hackberry,common",10,25,25,1,80,1960.0,0
"44.5153174797,-73.2454044395",ward 7,6843,2014-06,,residence,Tree,"mapl,silver",32,50,50,1,70,13100.0,0
"44.5157149379,-73.2460890572",ward 7,6847,2014-06,,residence,Tree,"hackberry,common",15,25,25,1,70,3840.0,0
"44.5160172581,-73.2464656383",ward 7,6849,2014-06,,residence,Tree,"ash,gr summit",20,30,30,1,70,6800.0,0
"44.5169393551,-73.2476095768",ward 7,6860,2014-06,,residence,Tree,"hackberry,common",7,20,15,1,80,970.0,0
"44.5163913889,-73.2478031309",ward 7,6862,2014-06,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5158005197,-73.2479995235",ward 7,6866,2014-06,,residence,Tree,crabapple spp,13,15,15,1,70,2670.0,0
"44.515762497,-73.2478426263",ward 7,6867,2014-06,,residence,Tree,"mapl,red",10,30,20,1,70,1850.0,0
"44.5154970985,-73.2467729873",ward 7,6874,2014-06,,residence,Tree,"hackberry,common",11,25,25,1,80,2370.0,0
"44.5156304321,-73.2469197844",ward 7,6878,2018-02,,residence,Tree,elm triumph,11,25,20,1,80,2560.0,0
"44.5157043035,-73.2472022659",ward 7,6880,2014-06,,residence,Tree,"hackberry,common",12,25,25,1,70,2470.0,0
"44.5158725818,-73.2478307233",ward 7,6882,2017-12,,residence,Tree,maple free aut bl,14,40,30,1,70,3610.0,0
"44.5161521486,-73.2479720743",ward 7,6886,2014-06,,residence,Planting Stumpite,unknown,0,0,0,0,0,0.0,0
"44.5163062693,-73.2477078138",ward 7,6888,2019-02,,residence,Tree,"birch,river",2,15,10,1,80,220.0,2016
"44.5163664671,-73.2476054185",ward 7,6889,2019-02,,residence,Tree,"birch,river",3,15,10,1,80,220.0,2016
"44.5156738958,-73.2462446169",ward 7,6895,2014-06,,residence,Tree,"hackberry,common",10,20,20,1,70,1720.0,0
"44.515212053,-73.2454578774",ward 7,6899,2014-06,,residence,Tree,"mapl,hedge",14,25,25,1,70,3610.0,0
"44.5149882901,-73.2448829705",ward 7,6902,2014-06,,residence,Tree,"hackberry,common",13,20,20,1,70,2890.0,0
"44.5148877495,-73.2445267783",ward 7,6903,2014-06,,residence,Tree,"hackberry,common",12,25,25,1,70,2470.0,0
"44.5148043595,-73.2442242161",ward 7,6904,2014-06,,residence,Tree,"hackberry,common",12,25,25,1,70,2470.0,0
"44.5146743668,-73.2437283818",ward 7,6908,2014-06,,residence,Tree,crabapple spp,14,15,15,1,70,3090.0,0
"44.5148812937,-73.2437634602",ward 7,6913,2014-06,,residence,Tree,crabapple spp,13,20,20,1,70,2670.0,0
"44.5149713375,-73.2437576162",ward 7,6914,2014-06,,residence,Tree,crabapple spp,9,15,15,1,70,1290.0,0
"44.51522614,-73.2437354002",ward 7,6916,2019-02,,residence,Tree,mapl frman marmo,3,15,10,1,80,210.0,2015
"44.5161015829,-73.2435109206",ward 7,6921,2019-09,,residence,Tree,"mapl,norway",17,30,25,1,50,3520.0,0
"44.5170386547,-73.2428169805",ward 7,6927,2019-05,,residence,Tree,"mapl,hedge",11,25,20,1,80,2560.0,0
"44.516529828,-73.2431260017",ward 7,6931,2014-06,,residence,Tree,"mapl,hedge",10,20,20,1,70,1850.0,0
"44.5160424226,-73.2433813789",ward 7,6934,2014-06,,residence,Tree,"mapl,hedge",6,15,10,1,30,290.0,0
"44.5157564119,-73.243533986",ward 7,6937,2014-06,,residence,Tree,"mapl,silver",20,45,30,1,70,5200.0,0
"44.5155630231,-73.2435589826",ward 7,6939,2014-06,,residence,Tree,"mapl,red",9,30,15,1,70,1500.0,0
"44.5147011372,-73.2434017644",ward 7,6946,2014-06,,residence,Tree,"hackberry,common",12,30,30,1,70,2470.0,0
"44.5146463798,-73.2431994027",ward 7,6947,2014-06,,residence,Tree,"ash,gr summit",23,40,40,1,70,9000.0,0
"44.5144913051,-73.2426054169",ward 7,6948,2014-06,,residence,Tree,"hackberry,common",8,25,20,1,80,1260.0,0
"44.5145589462,-73.2432981253",ward 7,6954,2019-09,,residence,Tree,"hackberry,common",11,30,20,1,70,2080.0,0
"44.5146220221,-73.2435395287",ward 7,6956,2014-06,,residence,Tree,"mapl,hedge",9,20,20,1,70,1500.0,0
"44.4807866738,-73.2093898219",ward 2,6960,2019-03,,apartments,Tree,mapl frman marmo,3,18,8,1,80,210.0,2017
"44.4808923424,-73.2093984195",ward 2,6961,2018-12,,apartments,Tree,"ash,gr summit",23,45,35,1,70,9000.0,0
"44.4811622449,-73.2094169883",ward 2,6963,2018-12,,residence,Tree,"ash,gr summit",22,40,30,1,80,9400.0,0
"44.4815497154,-73.2094449655",ward 2,6967,2018-12,,residence,Tree,"ash,gr patmore",13,30,25,1,70,2890.0,0
"44.4818633986,-73.2094687228",ward 2,6970,2018-12,,apartments,Tree,"ash,gr patmore",9,30,20,1,70,1390.0,0
"44.4831185077,-73.2078142747",ward 2,7008,2014-06,,apartments,Tree,crabapple spp,13,20,20,1,70,2670.0,0
"44.4831068296,-73.208238533",ward 2,7011,2019-03,,apartments,Tree,"lilac,jap tree",2,10,5,1,80,210.0,2013
"44.483103819,-73.2084167711",ward 2,7012,2019-03,,apartments,Tree,"lilac,jap tree",2,10,5,1,80,210.0,2013
"44.4830893476,-73.208830353",ward 2,7016,2014-06,,apartments,Tree,crabapple spp,7,15,10,2,70,780.0,0
"44.4829729893,-73.207624153",ward 2,7019,2014-06,,apartments,Tree,"pear,flwr chntclr",12,25,15,1,70,2470.0,0
"44.4821209292,-73.2075632981",ward 2,7026,2014-06,,apartments,Tree,"ash,gr summit",14,35,30,1,70,3350.0,0
"44.4817205925,-73.2075365074",ward 2,7030,2014-06,,apartments,Tree,"pear,flwr chntclr",13,25,25,1,70,2890.0,0
"44.482341819,-73.2084527833",ward 2,7037,2014-06,,residence,Tree,maple free aut bl,15,45,35,1,70,4140.0,0
"44.4827224815,-73.2085995758",ward 2,7041,2019-10,,apartments,Removal,,0,0,0,0,0,0.0,0
"44.482620717,-73.2085950178",ward 2,7042,2018-12,,residence,Tree,"linden,ltlf grnsp",25,70,45,1,70,13100.0,0
"44.4821454767,-73.2043430124",ward 1,7099,2014-06,,residence,Tree,"mapl,norway",11,35,25,1,70,2080.0,0
"44.4822019382,-73.2034496731",ward 1,7104,2019-06,,residence,Tree,linden ltlf corin,7,25,15,1,70,920.0,0
"44.4822488067,-73.2027545151",ward 1,7108,2018-09,,residence,Tree,crabapple spp,10,20,20,1,70,1590.0,0
"44.4823043665,-73.2018950157",ward 1,7113,2014-06,,residence,Tree,"mapl,red",21,35,30,1,50,5700.0,0
"44.4819191776,-73.2008862931",ward 1,7116,2014-06,,apartments,Tree,"mapl,freeman",5,20,15,1,70,480.0,0
"44.482014898,-73.2009057317",ward 1,7117,2014-06,,apartments,Tree,"mapl,freeman",5,20,15,1,70,480.0,0
